genero,nome,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,salario_bruto
F,CELINA LEAO HIZIM FERREIRA,02/03/1977,101582.40000000001,1190.04,11101.64,13853.72,18215.77,17835.36,15949.33,14392.13,6642.14,2402.27,0.0,0.0,0.0,1102763.97,110531.62,110840.11,110489.74,109406.57,110401.05,109266.63,109432.72,110798.51,110798.51,110798.51,0.0,0.0,71,21,19,18,24,23,33763.0
F,CHRISTINE NOGUEIRA DOS REIS TONIETTO,14/05/1991,133178.31,11369.6,10173.11,9970.3,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,15855.62,366.11,0.0,789351.1299999999,69040.75,69101.84,69101.84,71632.9,76266.55,85504.27,88597.5,88597.5,88597.5,82910.48,0.0,0.0,88,4,2,59,10,6,33763.0
F,HILKEA CARLA DE SOUZA MEDEIROS LIMA,02/07/1976,321096.04000000004,24586.19,44761.07,52267.87,31382.92,38231.83,32701.13,15878.04,19847.11,20700.3,40204.82,534.76,0.0,1112342.45,111271.39,111271.39,111271.39,111271.39,111271.39,110132.42,111538.26,111238.3,111538.26,111538.26,0.0,0.0,91,1,1,62,5,5,33763.0
F,CARLA ZAMBELLI SALGADO DE OLIVEIRA,03/07/1980,275642.88,35310.53,32694.44,28196.83,21729.23,51011.16,22816.95,21987.75,14571.57,14918.4,31400.35,1005.67,0.0,1095690.52,111549.61,111299.27,110215.67,105302.52,108206.27,105657.79,108726.99,111400.84,111665.78,111665.78,0.0,0.0,79,13,1,10,17,12,33763.0
F,DULCE FERREIRA PAGANI MIRANDA,15/12/1963,385152.19999999995,17405.28,54422.42,66007.2,43629.27,48597.93,16964.63,42936.18,44081.35,12900.31,38029.26,178.37,0.0,1102626.1300000001,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,0.0,0.0,84,8,0,78,19,8,33763.0
F,EDNACE ALVES SILVESTRE HENRIQUE,04/09/1958,245404.74999999997,21722.42,41564.86,44584.53,40428.22,32338.39,34109.42,30426.91,230.0,0.0,0.0,0.0,0.0,1109015.64,110222.29,107865.76,109797.12,111663.63,111512.59,111590.85,111590.85,111590.85,111590.85,111590.85,0.0,0.0,52,10,1,13,13,6,33763.0
F,DANIELA MOTE DE SOUZA CARNEIRO,10/02/1976,309318.38,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,4366.75,26.28,0.0,1097670.8499999999,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,0.0,0.0,80,12,2,42,18,9,33763.0
F,SORAYA DE SOUZA MANNATO,10/03/1961,279649.17,31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,8304.18,0.0,0.0,1100822.25,111501.77,111501.77,110559.03,110173.36,110920.06,110221.1,107709.88,107907.12,109518.27,110809.89,0.0,0.0,92,0,0,111,64,64,33763.0
F,VANDA DENIR MILANI NOGUEIRA,17/09/1953,395931.24,45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.0,30796.49,0.0,0.0,1103843.6300000001,109028.91,110980.61,111507.9,109468.16,111544.28,110383.9,111280.73,111580.69,111580.69,106487.76,0.0,0.0,72,20,7,31,33,22,33763.0
F,CARMEN EMÍLIA BONFÁ ZANOTTO,06/10/1962,239101.90999999997,15385.24,28801.18,31514.98,30373.86,35066.26,31040.14,26674.03,14544.84,11565.37,14136.01,0.0,0.0,981103.2099999998,101754.2,102247.05,101219.81,102930.96,102930.96,101603.76,86458.75,91918.18,92236.93,97802.61,0.0,0.0,92,0,0,62,15,15,33763.0
